Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15
90-MFCC.csv,6.020442,6.4187436,5.433476,4.434804,8.619944,4.1861973,8.398583,4.6372886,4.5220585,6.471782,4.530071,5.9681635,4.585133,8.140668,8.720325
91-MFCC.csv,8.3487215,5.1288033,4.356811,4.6256638,7.701794,2.2303336,8.848859,6.367764,5.227699,5.909038,4.1989374,4.842736,3.027614,9.287615,9.232544
92-MFCC.csv,6.9631014,6.1918945,5.255931,4.6471877,8.425371,3.960107,8.688906,5.4668956,4.740997,6.079171,4.392932,5.7512727,4.1834493,8.795639,9.063824
93-MFCC.csv,5.8636994,7.13655,5.6505184,5.3133345,8.82313,5.1090727,9.385226,4.9912405,4.9244647,5.2900124,4.5200524,6.076727,4.4952993,9.23122,8.962975
94-MFCC.csv,7.332698,6.117141,4.885008,4.7902937,8.0909605,3.0009878,9.015628,5.5190063,4.727239,5.7319317,3.9921598,5.1335897,3.7504976,9.001717,8.961899
95-MFCC.csv,6.3106236,6.2040586,5.2088165,4.2509947,8.5516,4.1534767,8.312619,4.61556,4.6011887,6.4838195,4.6258707,5.8066125,4.452315,8.213973,8.800831
96-MFCC.csv,5.82598,7.062625,5.473087,5.3478937,8.804545,5.035779,9.333746,4.8793435,4.722268,5.243144,4.42617,6.119803,4.4548516,9.172169,8.895219
97-MFCC.csv,5.761499,7.149813,5.455747,5.3994427,8.76176,5.074661,9.358425,4.993171,4.7263026,5.2958465,4.4442477,6.0959334,4.4855447,9.214139,8.855647
98-MFCC.csv,7.4593344,5.7052536,5.3740087,4.2587605,8.309267,3.0251317,8.416397,5.4708023,4.873196,6.239266,4.117283,5.200213,3.9418292,8.527735,9.02831
99-MFCC.csv,8.673039,5.0661507,4.6099205,4.2022886,7.4283657,2.0882585,8.564337,6.1873264,5.2138433,6.092617,4.011301,4.8322725,3.201371,9.04098,9.159411
